landmark names and coordinates for surface puntini ana rifare.tom:
1	(-9.13611,116.108,-43.1087)
10	(-1.47311,-19.8688,22.3679)
11	(-0.500843,-27.1233,27.6459)
12	(2.5608,-44.9177,26.7728)
13	(-75.2279,0.885786,-78.1726)
14	(-83.9869,12.5816,-86.9405)
15	(-94.0759,9.07351,-99.2566)
16	(-91.493,-16.0862,-100.073)
17	(-75.232,-29.0508,-70.1194)
18	(-65.0189,54.4406,-36.5028)
19	(-73.0485,23.0616,-49.4606)
2	(-7.38899,71.8973,-10.6285)
20	(-63.5852,-36.3171,-40.4905)
21	(-30.4316,64.0445,-13.089)
22	(-53.4492,41.9963,-23.066)
23	(-34.4034,34.6215,-8.46077)
24	(-21.7654,46.3259,-14.5627)
25	(-39.457,15.4757,-0.492822)
26	(-17.8563,15.6999,5.97622)
27	(-18.6491,20.5613,11.0645)
28	(-11.2512,18.3014,12.6716)
29	(-8.93335,23.958,23.7163)
3	(-6.70138,63.0197,-7.70914)
30	(-7.03685,4.34926,22.7999)
31	(-26.1412,-12.337,10.0632)
32	(65.6916,10.1109,-81.1175)
33	(67.8099,17.2966,-86.073)
34	(76.8684,18.6449,-104.814)
35	(84.6844,-2.01425,-106.9)
36	(69.6492,-22.1409,-74.9793)
37	(54.7957,51.7586,-42.2617)
38	(62.3183,23.097,-49.8624)
39	(55.2397,-39.1467,-39.1088)
4	(-2.58524,30.8959,28.7297)
40	(22.3278,65.9565,-16.2434)
41	(11.2621,46.1422,-16.3604)
42	(40.7125,47.4405,-24.2819)
43	(25.2673,36.3028,-11.3649)
44	(32.7457,18.1525,-4.41731)
45	(11.8058,16.8449,4.81756)
46	(12.8772,20.0921,8.57445)
47	(5.59379,17.085,12.3864)
48	(1.74006,24.0124,23.5803)
49	(3.5435,4.168,22.6723)
5	(-3.49636,24.4126,26.7467)
50	(22.9609,-8.85652,10.3468)
6	(-2.76859,15.9496,18.0449)
7	(-2.10406,2.44131,23.7651)
8	(-2.66834,-4.37506,21.3525)
9	(-2.20213,-10.798,24.0716)
