landmark names and coordinates for surface Brivio_area.tom:
1	(-9.87806,143.372,-162.872)
10	(-10.496,-0.679427,-96.9433)
11	(-10.7657,-14.9558,-91.2545)
12	(-9.62445,-28.1982,-99.6497)
13	(-71.8722,28.6744,-196.946)
14	(-72.4188,33.0491,-212.465)
15	(-88.823,43.5978,-236.152)
16	(-78.2488,14.2571,-231.912)
17	(-68.5275,3.79611,-200.511)
18	(-65.6718,81.7115,-159)
19	(-74.5921,54.05,-175.151)
2	(-10.8316,101.303,-127.996)
20	(-67.466,-1.62189,-160.686)
21	(-33.927,98.8206,-135.71)
22	(-57.0061,73.9676,-149.216)
23	(-46.5037,59.8795,-132.176)
24	(-23.528,76.5091,-136.145)
25	(-51.7121,49.9262,-128.404)
26	(-25.9312,43.1283,-115.421)
27	(-27.0622,47.79,-107.657)
28	(-19.2987,40.5485,-107.784)
29	(-19.1418,47.4592,-94.7082)
3	(-10.152,92.118,-125.134)
30	(-18.1693,29.3675,-98.0548)
31	(-34.314,13.3867,-111.372)
32	(65.9956,32.3168,-191.313)
33	(66.4209,38.2972,-197.466)
34	(82.8529,54.4958,-212.998)
35	(85.8602,26.5136,-224.128)
36	(62.6989,7.75429,-188.702)
37	(46.41,88.1458,-149.093)
38	(62.5459,52.6714,-169.665)
39	(51.7227,-5.01487,-163.271)
4	(-12.9056,57.185,-89.3775)
40	(14.0679,99.359,-133.514)
41	(37.5905,74.8449,-143.231)
42	(26.2916,60.0836,-128.152)
43	(3.11299,76.8833,-134.615)
44	(27.8696,47.4204,-119.533)
45	(4.68675,41.6618,-112.09)
46	(5.15033,46.4054,-109.093)
47	(-3.01322,41.7302,-104.894)
48	(-7.79552,47.8928,-93.3626)
49	(-3.3106,28.8685,-97.2803)
5	(-13.2816,43.4933,-94.7873)
50	(15.348,12.7425,-108.31)
6	(-10.8677,37.8002,-101.745)
7	(-11.3861,26.4717,-95.7743)
8	(-10.6969,18.1792,-98.1664)
9	(-10.9274,10.5866,-93.335)
